_id,author,content,rating
658ccd1cfdf2d4b2f8bdd9b0,gynn****,상품받고 비닐 냄새가 나서 몇일 거실에\n두고 냄새 빠진 후 설치했는데 방한효과\n확실히 됩니다\n배송은 주문하고 제작기간이 있어서\n짐작하고 기다리는 동안 포근한 날씨여서\n다행이었어요\n뽁뽁이로 하면 나중에 겨울에 또\n설치해야 하는데 벨크로를 사용하여\n겨울에 창문 여닫고 환기도 시키고...굳!\n다음해에 다시 붙여서 재사용 하기에\n편해서 구입하기를 잘한거 같습니다\n설치 후 창문 중앙에 벨크로 세로로\n잘라 붙이고 환기 시킬 때 착!! 옆으로 비닐\n붙여놓고 매일 공기 순환 하기에 매우 편리합니다\n창문 열고... 닫아보기... 그리고 벨크로 찍찍이\n눌른 후 촛불키고 창문앞에 있어 봤는데\n촛불이 안 움직이네요~\n좋은 방한용 만드시느라 수고가 많으십니다\n번창하십시요~♡\n더보기,평점 별 5점 중 5
658ccd1cfdf2d4b2f8bdd9b1,smoo****,"외풍 때문에 원래 중문에 방풍지를 설치했었는데 아무래도 바람이 직접 들어오는 베란다 창을 막는게 좋을 것 같아서 제작 주문하게 되었습니다. \n예정된 제작일정보다 늦어지긴 했지만 발송지연 알림을 주셨고, 때마침 날씨 또한 크게 춥지 않아서, 늦게 와도 좋으니~~ 제발 오래 사용할 수 있게 꼼꼼하게 제작되어 발송되길 기다렸네요! \n베란다 틀 색상에 맞춰서 회색 벨크로로 주문했고,벨크로는 잘 미싱되어 왔어요~~ \n안내된 내용대로 부착면을 깨끗이하고 동봉된 벨크로를 조금씩 잘라서 부착했습니다. 사이즈가 커서 고생했지만 두명이 함께 작업하니 어렵지 않았습니다. 거실에 펼쳐둘 때는 잘 몰랐는데 부착후 밀폐된 공간이다보니 비닐 냄새가 나서 지금은 벨크로 하단 찍찍이는 살짝 공간을 열어서 환기하고 있어요! \n다음주부터는 추워진다고 하니 외풍 차단 효과를 느낄 수 있겠지요?^^ 기대됩니다~\n더보기",평점 별 5점 중 5
658ccd1cfdf2d4b2f8bdd9b2,울트라빅보스,오래된 집이라 창문이 홑겹문이라서 구매했습니다\n올겨울이 유난히 추웠는데 방풍비닐이 없었으면 어쩔뻔했나 싶네요\n마무리도 깔끔하고 사이즈도 원하는대로 해주셔서 만족합니다,평점 별 5점 중 5
658ccd1cfdf2d4b2f8bdd9b3,꼬요또요맘,방에 우풍이 심해서 올 겨울 좀 더따뜻하게 지내려고\n찾아보니 요런게 있더라구요~ 사이즈 재서 주문했어요 잘맞네요! 깔끔하고 \n밖 창문 열어뒀는데 닫아놓은것처럼 바람 안들어오네요~ \n좋습니다 ,평점 별 5점 중 5
658ccd1cfdf2d4b2f8bdd9b4,lct1***,"비닐의 두께나 벨크로의 재봉 상태등  제품의 품질은 아주 좋습니다.\n위, 아래, 좌, 우 균형 맞춰서 붙이기 쉽지는 않지만 옆에 도와주는 사람 있으면 수월합니다.\n붙이는 순간 공기의 차가움이 없어지고 뭔가 아늑하고 훈훈한 느낌이 듭니다. 우풍이 있는 집은 방과 거실에 해주면 확실한 효과가 있습니다.",평점 별 5점 중 5
658ccd1cfdf2d4b2f8bdd9b5,카일라스,"윗 창문틀은 이중 창문틀인데 아래 창문틀이 홑창이라 주문했는데 동절기라 성수기에 주문이 좀 밀릴 걸 예상하고 받았는데 설치해보니 재단 정확하고, 양면 밸크로 테이프도 접착력 좋고, 내구성도 좋아 보여서 만족합니다.",평점 별 5점 중 5
658ccd1cfdf2d4b2f8bdd9b6,kksa***,"20년이상된 아파트라 우풍이솔솔~~,딸아이가 춥다해서 설치해줬는데 훨씬 따스하다네요 ",평점 별 5점 중 5
658ccd1dfdf2d4b2f8bdd9b7,여가고고,오늘도착하자마자\n주방쪽 베란다에 바로 붙였어요\n요즘 날씨가 너무추워서 찬바람이 엄청 줄줄샜는데\n이거 설치후 바람이 많이 감소한거 같아요\n벨트로도 좋고  비닐이 짱짱합니다,평점 별 5점 중 5
658ccd1dfdf2d4b2f8bdd9b8,인도사이다,사이즈 정확하고 장착도 쉽네요\n비닐하라라고 상각했는데 윗풍도 없어지고 진짜 좋아요,평점 별 5점 중 5
658ccd24fdf2d4b2f8bdd9ba,eve5**,샐러드와 함께 먹기 위해 대량 구매했어요\n맛도 괜찮고 유텅기한도 충분해요,평점 별 5점 중 4
658ccd24fdf2d4b2f8bdd9bb,blue**********,헬스하는 아들때문에 주문했는대\n맛있다고 다음에 또 주문 하라내요\n배송이 늦을까 내심 걱정했는대 빠르게\n도착해서 굿입니다.^^,평점 별 5점 중 4
