_id,법원소재지,사건번호,소재지 및 내역
658cfcb1c837ad5e9701f291,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경2527\n2022타경1385\n(중복)\n2021타경51864\n2021타경53242\n(병합),"서울특별시 강동구 양재대로124길 49-5, 6층602호 (길동,길동애드하우징)\n[집합건물 철근콘크리트구조 22.35㎡]"
658cfcb1c837ad5e9701f292,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경55637,"서울특별시 광진구 용마산로3길 79, 2층201호 (중곡동,아성뜨란채)\n[집합건물 철근콘크리트구조 31.03㎡]"
658cfcb1c837ad5e9701f293,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경56159,"서울특별시 송파구 가락로36길 13, 2층204호\n[집합건물 철근콘크리트구조 33.355㎡]"
658cfcb1c837ad5e9701f294,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경702,"서울특별시 광진구 천호대로137길 18, 지하층비101호 (구의동,세원그린빌)\n[집합건물 철근콘크리트구조 41.68 ㎡]"
658cfcb1c837ad5e9701f295,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경2241,"서울특별시 강동구 아리수로50길 50, 203동 14층1401호 (고덕동,래미안힐스테이트고덕)\n[집합건물 철근콘크리트구조 84.90㎡ 공유자지분 중 2분의 1 여성록 지분]"
658cfcb1c837ad5e9701f296,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경2401,"서울특별시 강동구 천호대로 1120, 7층701호 (성내동,엘아이지건영리가주상복합)\n[집합건물 철근콘크리트구조 125.35㎡]"
658cfcb1c837ad5e9701f297,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경2647,"서울특별시 송파구 충민로 181, 4층412호 (장지동,로체프라자)\n[집합건물 철근콘크리트구조 41.714㎡]"
658cfcb1c837ad5e9701f298,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경2753,"서울특별시 송파구 송이로17길 34, 에이동 1층101호 (가락동,현대연립)\n[집합건물 벽돌조 157.21㎡]"
658cfcb1c837ad5e9701f299,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경2869,"서울특별시 강동구 성안로7길 23, 2층201호\n[집합건물 철근콘크리트조 55.61㎡]"
658cfcb1c837ad5e9701f29a,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2022타경51045,"서울특별시 광진구 용마산로8다길 20-2, 2층202호 (중곡동,헤라힐스)\n[집합건물 철근콘크리트구조 26.32㎡]"
